"Ziekteverzuimpercentage; bedrijfstakken (SBI 2008) en bedrijfsgrootte"
""
""
"Onderwerp";"Ziekteverzuimpercentage";"Ziekteverzuimpercentage";"Ziekteverzuimpercentage";"Ziekteverzuimpercentage";"Ziekteverzuimpercentage";"Ziekteverzuimpercentage";"Ziekteverzuimpercentage";"Ziekteverzuimpercentage";"Ziekteverzuimpercentage";"Ziekteverzuimpercentage";"Ziekteverzuimpercentage";"Ziekteverzuimpercentage";"Ziekteverzuimpercentage";"Ziekteverzuimpercentage";"Ziekteverzuimpercentage";"Ziekteverzuimpercentage"
"K Financiële dienstverlening";"2,7";"2,8";"2,7";"2,8";"3,0";"2,8";"3,4";"3,1";"3,0";"3,4";"3,2";"3,4";"3,1";"3,1";"3,3";"3,3"
"L Verhuur en handel van onroerend goed";"3,2";"3,6";"3,7";"3,9";"4,0";"3,8";"4,7";"4,1";"3,9";"4,6";"4,3";"4,6";"4,1";"3,8";"4,1";"4,2"
"M Specialistische zakelijke diensten";"3,1";"3,2";"3,2";"3,1";"3,6";"3,3";"4,4";"3,8";"3,4";"3,8";"3,8";"4,0";"3,5";"3,2";"3,7";"3,6"
"N Verhuur en overige zakelijke diensten";"4,4";"4,1";"4,1";"4,0";"4,7";"4,2";"5,5";"4,7";"4,4";"5,0";"4,9";"4,9";"4,3";"4,4";"4,8";"4,6"
"812 Schoonmaakbedrijven";"6,6";"6,7";"6,6";"6,0";"7,1";"6,6";"8,5";"7,2";"6,2";"7,0";"7,2";"8,1";"7,3";"6,6";"7,5";"7,4"
"O-U Niet-commerciële dienstverlening";"5,6";"5,7";"5,6";"5,4";"6,4";"5,8";"7,7";"6,5";"6,1";"6,9";"6,8";"7,1";"6,2";"5,8";"6,8";"6,5"
"O Openbaar bestuur en overheidsdiensten";"5,1";"5,0";"5,0";"4,9";"5,7";"5,2";"6,7";"5,7";"5,5";"6,4";"6,1";"6,6";"5,6";"5,5";"6,5";"6,0"
"P Onderwijs";"4,8";"4,6";"4,8";"4,1";"5,4";"4,8";"6,5";"5,6";"4,8";"5,8";"5,7";"6,2";"5,4";"4,8";"5,9";"5,6"
"Q Gezondheids- en welzijnszorg";"6,4";"6,8";"6,5";"6,3";"7,5";"6,8";"8,9";"7,5";"7,1";"8,0";"7,9";"8,1";"7,0";"6,7";"7,7";"7,4"
"86 Gezondheidszorg";"5,3";"5,6";"5,4";"5,3";"6,4";"5,7";"7,8";"6,5";"6,2";"6,9";"6,8";"6,9";"6,0";"5,7";"6,5";"6,3"
"861 Ziekenhuizen";"5,8";"6,2";"5,9";"5,6";"6,8";"6,1";"8,2";"6,9";"6,6";"7,3";"7,2";"7,3";"6,3";"6,0";"7,0";"6,7"
"87 Verpleging en zorg met overnachting";"7,7";"8,2";"7,7";"7,3";"8,8";"8,0";"10,1";"8,6";"8,1";"9,0";"9,0";"9,4";"8,0";"7,7";"8,9";"8,5"
"88 Welzijnszorg zonder overnachting";"6,7";"7,0";"6,8";"6,5";"7,7";"7,0";"9,3";"7,7";"7,4";"8,4";"8,2";"8,6";"7,4";"7,1";"8,2";"7,8"
"R Cultuur, sport en recreatie";"3,9";"4,0";"3,7";"4,1";"4,8";"4,2";"5,6";"5,1";"4,8";"5,2";"5,2";"5,3";"4,5";"4,1";"4,6";"4,6"
"S Overige dienstverlening";"4,4";"4,6";"4,3";"4,8";"5,0";"4,7";"6,7";"5,6";"4,6";"4,7";"5,4";"5,9";"5,0";"4,3";"4,8";"5,0"
"1 tot 10 werkzame personen";"2,8";"3,4";"2,8";"3,2";"3,4";"3,2";"4,3";"3,7";"2,8";"3,1";"3,5";"3,5";"3,0";"2,6";"2,7";"3,0"
"10 tot 100 werkzame personen";"4,4";"4,3";"4,3";"4,2";"4,9";"4,4";"5,7";"4,9";"4,5";"5,0";"5,0";"5,0";"4,5";"4,3";"4,8";"4,7"
"100 of meer werkzame personen";"5,4";"5,4";"5,3";"5,1";"6,1";"5,5";"7,0";"6,0";"5,7";"6,4";"6,3";"6,5";"5,7";"5,5";"6,4";"6,0"
"Bron: CBS"
